verb andel;verb;KTH;KTH;MiUn;MiUn;SU;SU;UmU;UmU;sumabs;skaladsumabs;maxabs;skaladmaxabs;Tek;Tek;Nat;Nat;Sam;Sam;Hum;Hum;sumabs;maxabs
0,30%;dra * slutsats;#N/A;-100,0%;#N/A;-100,0%;0,30%;0,0%;0,50%;66,7%;266,7%;88888,9%;100,0%;;#N/A;-100,0%;0,70%;133,3%;0,40%;33,3%;#N/A;-100,0%;366,7%;133,3%
0,10%;upprätta;#N/A;-100,0%;0,30%;200,0%;#N/A;-100,0%;#N/A;-100,0%;500,0%;500000,0%;200,0%;;#N/A;-100,0%;#N/A;-100,0%;#N/A;-100,0%;#N/A;-100,0%;400,0%;100,0%
0,30%;författa;#N/A;-100,0%;#N/A;-100,0%;0,70%;133,3%;#N/A;-100,0%;433,3%;144444,4%;133,3%;;#N/A;-100,0%;0,50%;66,7%;0,40%;33,3%;0,50%;66,7%;266,7%;100,0%
0,30%;delta;0,60%;100,0%;#N/A;-100,0%;#N/A;-100,0%;#N/A;-100,0%;400,0%;133333,3%;100,0%;;0,60%;100,0%;#N/A;-100,0%;#N/A;-100,0%;0,40%;33,3%;333,3%;100,0%
0,20%;bidra;0,50%;150,0%;#N/A;-100,0%;#N/A;-100,0%;0,30%;50,0%;400,0%;200000,0%;150,0%;;0,40%;100,0%;#N/A;-100,0%;#N/A;-100,0%;#N/A;-100,0%;400,0%;100,0%
0,20%;anpassa;#N/A;-100,0%;#N/A;-100,0%;#N/A;-100,0%;#N/A;-100,0%;400,0%;200000,0%;100,0%;;#N/A;-100,0%;#N/A;-100,0%;0,30%;50,0%;#N/A;-100,0%;350,0%;100,0%
0,20%;demonstrera;#N/A;-100,0%;#N/A;-100,0%;#N/A;-100,0%;#N/A;-100,0%;400,0%;200000,0%;100,0%;;#N/A;-100,0%;#N/A;-100,0%;#N/A;-100,0%;0,30%;50,0%;350,0%;100,0%
0,20%;urskilja;#N/A;-100,0%;#N/A;-100,0%;#N/A;-100,0%;#N/A;-100,0%;400,0%;200000,0%;100,0%;;#N/A;-100,0%;#N/A;-100,0%;#N/A;-100,0%;0,30%;50,0%;350,0%;100,0%
0,20%;undersöka;#N/A;-100,0%;#N/A;-100,0%;#N/A;-100,0%;#N/A;-100,0%;400,0%;200000,0%;100,0%;;#N/A;-100,0%;#N/A;-100,0%;#N/A;-100,0%;#N/A;-100,0%;400,0%;100,0%
0,20%;omsätta;#N/A;-100,0%;#N/A;-100,0%;#N/A;-100,0%;0,40%;100,0%;400,0%;200000,0%;100,0%;;#N/A;-100,0%;#N/A;-100,0%;#N/A;-100,0%;#N/A;-100,0%;400,0%;100,0%
0,20%;avgränsa;#N/A;-100,0%;#N/A;-100,0%;#N/A;-100,0%;#N/A;-100,0%;400,0%;200000,0%;100,0%;;#N/A;-100,0%;#N/A;-100,0%;#N/A;-100,0%;#N/A;-100,0%;400,0%;100,0%
0,20%;behandla;#N/A;-100,0%;#N/A;-100,0%;#N/A;-100,0%;#N/A;-100,0%;400,0%;200000,0%;100,0%;;#N/A;-100,0%;#N/A;-100,0%;#N/A;-100,0%;#N/A;-100,0%;400,0%;100,0%
0,20%;bemöta;#N/A;-100,0%;#N/A;-100,0%;#N/A;-100,0%;#N/A;-100,0%;400,0%;200000,0%;100,0%;;#N/A;-100,0%;#N/A;-100,0%;0,30%;50,0%;#N/A;-100,0%;350,0%;100,0%
0,10%;samarbeta;#N/A;-100,0%;#N/A;-100,0%;#N/A;-100,0%;#N/A;-100,0%;400,0%;400000,0%;100,0%;;#N/A;-100,0%;#N/A;-100,0%;#N/A;-100,0%;#N/A;-100,0%;400,0%;100,0%
0,10%;organisera;#N/A;-100,0%;#N/A;-100,0%;#N/A;-100,0%;#N/A;-100,0%;400,0%;400000,0%;100,0%;;#N/A;-100,0%;#N/A;-100,0%;#N/A;-100,0%;#N/A;-100,0%;400,0%;100,0%
0,10%;framställa;#N/A;-100,0%;#N/A;-100,0%;#N/A;-100,0%;#N/A;-100,0%;400,0%;400000,0%;100,0%;;#N/A;-100,0%;#N/A;-100,0%;#N/A;-100,0%;#N/A;-100,0%;400,0%;100,0%
0,10%;förbereda;#N/A;-100,0%;#N/A;-100,0%;#N/A;-100,0%;#N/A;-100,0%;400,0%;400000,0%;100,0%;;#N/A;-100,0%;#N/A;-100,0%;#N/A;-100,0%;#N/A;-100,0%;400,0%;100,0%
0,10%;kontrastera;#N/A;-100,0%;#N/A;-100,0%;#N/A;-100,0%;#N/A;-100,0%;400,0%;400000,0%;100,0%;;#N/A;-100,0%;#N/A;-100,0%;#N/A;-100,0%;#N/A;-100,0%;400,0%;100,0%
0,10%;utarbeta;#N/A;-100,0%;#N/A;-100,0%;#N/A;-100,0%;#N/A;-100,0%;400,0%;400000,0%;100,0%;;#N/A;-100,0%;#N/A;-100,0%;#N/A;-100,0%;#N/A;-100,0%;400,0%;100,0%
0,10%;strukturera;#N/A;-100,0%;#N/A;-100,0%;#N/A;-100,0%;#N/A;-100,0%;400,0%;400000,0%;100,0%;;#N/A;-100,0%;#N/A;-100,0%;#N/A;-100,0%;#N/A;-100,0%;400,0%;100,0%
0,20%;samla in;#N/A;-100,0%;#N/A;-100,0%;#N/A;-100,0%;0,30%;50,0%;350,0%;175000,0%;100,0%;;#N/A;-100,0%;0,40%;100,0%;#N/A;-100,0%;#N/A;-100,0%;400,0%;100,0%
0,30%;koppla;#N/A;-100,0%;0,40%;33,3%;#N/A;-100,0%;#N/A;-100,0%;333,3%;111111,1%;100,0%;;#N/A;-100,0%;0,40%;33,3%;0,30%;0,0%;#N/A;-100,0%;233,3%;100,0%
0,30%;bearbeta;#N/A;-100,0%;0,40%;33,3%;#N/A;-100,0%;0,50%;66,7%;300,0%;100000,0%;100,0%;;#N/A;-100,0%;0,40%;33,3%;#N/A;-100,0%;0,50%;66,7%;300,0%;100,0%
0,30%;exemplifiera;#N/A;-100,0%;#N/A;-100,0%;0,30%;0,0%;#N/A;-100,0%;300,0%;100000,0%;100,0%;;#N/A;-100,0%;#N/A;-100,0%;0,30%;0,0%;#N/A;-100,0%;300,0%;100,0%
0,30%;applicera;#N/A;-100,0%;#N/A;-100,0%;0,30%;0,0%;#N/A;-100,0%;300,0%;100000,0%;100,0%;;#N/A;-100,0%;#N/A;-100,0%;0,30%;0,0%;#N/A;-100,0%;300,0%;100,0%
0,30%;leda;#N/A;-100,0%;0,50%;66,7%;0,30%;0,0%;#N/A;-100,0%;266,7%;88888,9%;100,0%;;#N/A;-100,0%;#N/A;-100,0%;0,50%;66,7%;#N/A;-100,0%;366,7%;100,0%
0,50%;resonera;#N/A;-100,0%;0,50%;0,0%;0,80%;60,0%;#N/A;-100,0%;260,0%;52000,0%;100,0%;;#N/A;-100,0%;#N/A;-100,0%;0,60%;20,0%;0,90%;80,0%;300,0%;100,0%
0,30%;ge exempel;0,40%;33,3%;#N/A;-100,0%;0,30%;0,0%;#N/A;-100,0%;233,3%;77777,8%;100,0%;;#N/A;-100,0%;#N/A;-100,0%;0,30%;0,0%;#N/A;-100,0%;300,0%;100,0%
0,40%;föreslå;0,80%;100,0%;0,50%;25,0%;#N/A;-100,0%;0,40%;0,0%;225,0%;56250,0%;100,0%;;0,60%;50,0%;0,60%;50,0%;#N/A;-100,0%;#N/A;-100,0%;300,0%;100,0%
0,30%;arbeta;0,40%;33,3%;0,50%;66,7%;#N/A;-100,0%;0,30%;0,0%;200,0%;66666,7%;100,0%;;0,50%;66,7%;#N/A;-100,0%;#N/A;-100,0%;0,30%;0,0%;266,7%;100,0%
0,30%;rapportera;#N/A;-100,0%;#N/A;-100,0%;0,30%;0,0%;0,30%;0,0%;200,0%;66666,7%;100,0%;;#N/A;-100,0%;0,60%;100,0%;0,40%;33,3%;#N/A;-100,0%;333,3%;100,0%
0,90%;problematisera;#N/A;-100,0%;0,70%;-22,2%;1,10%;22,2%;1,20%;33,3%;177,8%;19753,1%;100,0%;;#N/A;-100,0%;#N/A;-100,0%;1,30%;44,4%;1,30%;44,4%;288,9%;100,0%
0,40%;försvara;#N/A;-100,0%;0,40%;0,0%;0,30%;-25,0%;0,50%;25,0%;150,0%;37500,0%;100,0%;;#N/A;-100,0%;#N/A;-100,0%;0,40%;0,0%;0,40%;0,0%;200,0%;100,0%
0,40%;sammanfatta;0,40%;0,0%;0,40%;0,0%;#N/A;-100,0%;0,50%;25,0%;125,0%;31250,0%;100,0%;;0,30%;-25,0%;0,50%;25,0%;#N/A;-100,0%;0,40%;0,0%;150,0%;100,0%
0,50%;utforma;0,80%;60,0%;0,40%;-20,0%;0,40%;-20,0%;0,60%;20,0%;120,0%;24000,0%;60,0%;;0,80%;60,0%;0,60%;20,0%;0,60%;20,0%;#N/A;-100,0%;200,0%;100,0%
0,80%;skriva;0,80%;0,0%;0,60%;-25,0%;1,20%;50,0%;0,60%;-25,0%;100,0%;12500,0%;50,0%;;0,80%;0,0%;0,60%;-25,0%;0,70%;-12,5%;1,60%;100,0%;137,5%;100,0%
0,60%;skapa;0,70%;16,7%;0,90%;50,0%;0,40%;-33,3%;0,60%;0,0%;100,0%;16666,7%;50,0%;;1,10%;83,3%;#N/A;-100,0%;0,60%;0,0%;0,40%;-33,3%;216,7%;100,0%
0,60%;dokumentera;0,50%;-16,7%;0,80%;33,3%;0,50%;-16,7%;0,70%;16,7%;83,3%;13888,9%;33,3%;;0,70%;16,7%;0,80%;33,3%;0,60%;0,0%;#N/A;-100,0%;150,0%;100,0%
0,60%;argumentera;0,50%;-16,7%;0,70%;16,7%;0,60%;0,0%;0,80%;33,3%;66,7%;11111,1%;33,3%;;0,40%;-33,3%;#N/A;-100,0%;0,70%;16,7%;0,70%;16,7%;166,7%;100,0%
1,30%;utföra;1,80%;38,5%;1,50%;15,4%;0,70%;-46,2%;1,40%;7,7%;107,7%;8284,0%;46,2%;;1,70%;30,8%;2,50%;92,3%;0,50%;-61,5%;0,80%;-38,5%;223,1%;92,3%
1,00%;redovisa;0,80%;-20,0%;1,10%;10,0%;0,90%;-10,0%;1,10%;10,0%;50,0%;5000,0%;20,0%;;0,70%;-30,0%;1,90%;90,0%;0,80%;-20,0%;1,20%;20,0%;160,0%;90,0%
0,90%;hantera;2,00%;122,2%;0,80%;-11,1%;0,60%;-33,3%;0,50%;-44,4%;211,1%;23456,8%;122,2%;;1,70%;88,9%;0,80%;-11,1%;0,60%;-33,3%;0,60%;-33,3%;166,7%;88,9%
3,40%;förklara;5,30%;55,9%;4,50%;32,4%;2,10%;-38,2%;3,00%;-11,8%;138,2%;4065,7%;55,9%;1643,6%;5,40%;58,8%;4,90%;44,1%;2,40%;-29,4%;1,40%;-58,8%;191,2%;58,8%
0,80%;välja;1,20%;50,0%;0,90%;12,5%;0,60%;-25,0%;0,80%;0,0%;87,5%;10937,5%;50,0%;;1,40%;75,0%;0,90%;12,5%;0,80%;0,0%;0,60%;-25,0%;112,5%;75,0%
