code;syll_lang_swe;syll_lang_eng;content;goals_swe;goals_eng;eligibility;literature;exam_comments;req_for_grade;valid_from;equipment;instruction_lang;cycle;credits;title_swe;title_eng;grade_scale;department;examiner;n_exam_modules;n_course_subjects;ethics_keywords;n_rows;n_ilos;n_higher_grade_ilos;n_purpose_ilos;bloom_knowledge;bloom_comprehension;bloom_application;bloom_analysis;bloom_evaluation;bloom_synthesis;total_highest_bloom
SD271X;swedish;english;1;1;1;1;0;0;1;0;0;Engelska;2;30.0;1;1;PF;SCI/Farkost och flyg;(Anders Rosén,Ivan Stenius,Jakob Kuttenkeuler,Karl Garme);1;1;1;8;8;0;0;0;1;2;0;2;2;5
SD2721;swedish;english;1;1;1;1;0;1;1;0;0;Engelska;2;9.0;1;1;AF;SCI/Farkost och flyg;(Karl Garme);2;1;0;9;8;0;0;0;2;2;0;0;2;5
SD2722;swedish;english;1;1;1;1;0;0;1;0;0;Engelska;2;7.5;1;1;AF;SCI/Farkost och flyg;(Zuheir Barsoum);1;1;0;12;11;0;0;0;4;4;1;2;0;4
SD2723;swedish;english;1;1;1;1;0;0;1;0;0;Engelska;2;7.5;1;1;AF;SCI/Farkost och flyg;(Karl Garme);2;0;0;8;7;0;0;0;2;1;0;2;2;5
SD2725;swedish;english;1;1;1;1;0;0;1;0;0;Engelska;2;6.0;1;1;AF;SCI/Farkost och flyg;(Karl Garme);1;1;0;9;8;0;0;0;2;2;0;0;2;5
SD2726;swedish;english;1;1;1;1;0;0;0;0;0;Engelska;2;6.0;1;1;AF;SCI/Teknisk Mekanik;(Karl Garme);2;0;0;7;6;0;0;0;2;1;0;2;1;5
SD2805;swedish;english;1;1;1;1;0;0;1;0;0;Engelska;2;9.0;1;1;AF;SCI/Farkost och flyg;(Ulf Ringertz);3;0;0;8;7;0;0;1;1;3;0;1;1;5
SD2806;swedish;english;1;1;1;1;0;0;0;0;0;Engelska;2;6.0;1;1;AF;SCI/Teknisk Mekanik;(Raffaello Mariani);2;0;0;7;6;0;0;0;2;3;0;1;0;4
SD2810;swedish;english;1;1;1;1;0;0;1;0;0;Engelska;2;9.0;1;1;AF;SCI/Farkost och flyg;(Ulf Ringertz);3;0;0;10;8;0;0;1;1;3;0;1;1;5
SD281X;swedish;english;1;1;1;1;0;0;1;0;0;Engelska;2;30.0;1;1;PF;SCI/Farkost och flyg;(Evelyn Otero Sola,Jakob Kuttenkeuler,Per Wennhage,Raffaello Mariani,Ulf Ringertz);1;1;1;8;8;0;0;0;1;2;0;2;2;5
SD2820;swedish;english;1;1;1;1;0;0;1;0;0;Engelska;2;15.0;1;1;PF;SCI/Farkost och flyg;(Evelyn Otero Sola,Gunnar Tibert,Raffaello Mariani,Ulf Ringertz);1;0;0;5;4;0;0;1;0;1;0;0;1;5
SD2830;swedish;english;1;1;1;1;0;0;1;0;0;Engelska;2;6.0;1;1;AF;SCI/Teknisk Mekanik;(Evelyn Otero Sola);2;0;0;13;12;0;0;1;3;1;1;4;2;5
SD2900;swedish;english;1;1;1;1;0;0;1;0;0;Engelska;2;7.5;1;1;AF;SCI/Farkost och flyg;(Gunnar Tibert);3;1;0;16;12;2;0;0;1;1;0;3;4;5
SD2905;swedish;english;1;1;1;1;0;0;1;0;0;Engelska;2;7.5;1;1;AF;SCI/Farkost och flyg;(Christer Fuglesang);2;1;0;12;9;0;0;1;0;2;3;2;0;4
SD2910;swedish;english;1;1;1;1;0;0;1;0;0;Engelska;2;9.0;1;1;AF;SCI/Farkost och flyg;(Gunnar Tibert);2;1;0;8;5;1;0;0;1;0;0;1;1;5
SD291X;swedish;english;1;1;1;1;0;0;1;0;0;Engelska;2;30.0;1;1;PF;SCI/Farkost och flyg;(Christer Fuglesang,Gunnar Tibert,Huina Mao);1;1;1;8;8;0;0;0;1;2;0;2;2;5
SD2920;swedish;english;1;1;1;1;0;0;1;0;0;Engelska;2;3.0;1;1;PF;SCI/Farkost och flyg;(Christer Fuglesang,Gunnar Tibert);2;1;0;9;8;0;0;0;1;0;0;2;4;5
SD2925;swedish;english;1;1;1;1;0;0;1;0;0;Engelska;2;3.0;1;1;PF;SCI/Farkost och flyg;(Christer Fuglesang,Gunnar Tibert);2;1;0;12;11;0;0;1;1;1;0;2;5;5
SD2930;swedish;NO_ENG_TEXT;1;1;0;1;0;0;1;0;0;Engelska;2;7.5;1;1;PF;SCI/Farkost och flyg;(Evelyn Otero Sola,Gunnar Tibert,Raffaello Mariani);1;1;0;6;5;0;0;1;0;2;0;0;1;5
SE1010;swedish;english;1;1;1;1;0;0;0;0;0;Svenska;1;12.0;1;1;AF;SCI/Hållfasthetslära;(Sören Östlund);4;1;0;8;7;0;0;1;0;3;1;1;1;5
SE1020;swedish;english;1;1;1;1;0;0;0;0;0;Svenska;1;9.0;1;1;AF;SCI/Hållfasthetslära;(Jonas Neumeister);3;1;0;7;6;0;0;0;0;3;1;1;1;5
SE1025;swedish;english;1;1;1;1;1;0;1;0;0;Svenska;1;6.0;1;1;AF;SCI/Hållfasthetslära;(Jonas Neumeister);3;1;0;7;6;0;0;0;0;2;1;1;2;5
SE1055;swedish;english;1;1;1;1;1;0;1;0;0;Svenska;1;9.0;1;1;AF;SCI/Hållfasthetslära;(Peter Gudmundson);4;2;0;9;8;0;0;0;0;5;1;1;1;5
SE202X;swedish;english;1;1;1;1;0;0;1;0;0;Engelska;2;30.0;1;1;PF;SCI/Hållfasthetslära;(Artem Kulachenko,Christian Gasser,Jonas Faleskog,Jonas Neumeister,Mårten Olsson,Per-Lennart Larsson,Peter Gudmundson,Pål Efsing,Sören Östlund);1;1;1;8;8;0;0;0;1;2;0;2;2;5
SE2121;swedish;english;1;1;1;1;0;0;1;0;0;Engelska;2;9.0;1;1;AF;SCI/Hållfasthetslära;(Christian Gasser);3;1;0;10;7;0;0;0;0;2;1;0;2;5
